Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Injury Count
myles turner,C,23,IND,62,1826,14.8,0.566,0.426,0.288,5.2,19.1,12.2,5.4,1.2,6.4,11.4,17.9,1.1,3.1,4.2,0.111,-1.0,1.1,0.1,1.0,2.0
jarrod uthoff,SF,26,TOT,7,53,8.8,0.503,0.5,0.111,4.0,8.6,6.1,0.0,0.9,0.0,0.0,14.8,0.0,0.0,0.0,0.018,-2.3,-2.2,-4.5,0.0,0.0
jarrod uthoff,SF,26,MEM,4,14,-0.1,0.254,0.571,0.286,7.7,0.0,3.8,0.0,3.3,0.0,0.0,23.4,-0.1,0.0,0.0,-0.166,-11.1,-2.4,-13.5,0.0,0.0
jarrod uthoff,SF,26,WAS,3,39,12.0,0.682,0.455,0.0,2.7,11.7,7.0,0.0,0.0,0.0,0.0,11.7,0.1,0.0,0.1,0.083,0.8,-2.1,-1.2,0.0,0.0
jonas valančiūnas,C,27,MEM,70,1845,22.2,0.631,0.123,0.271,12.4,32.2,22.5,10.9,0.8,3.6,13.3,21.5,4.2,2.8,7.0,0.182,2.1,0.2,2.4,2.0,0.0
denzel valentine,SF,26,CHI,36,488,13.0,0.511,0.578,0.034,1.9,15.5,8.4,14.2,2.6,1.2,9.8,23.3,-0.1,0.6,0.5,0.048,-0.8,0.2,-0.6,0.2,2.0
jarred vanderbilt,SF-PF,20,TOT,11,46,7.6,0.676,0.125,0.25,7.3,14.5,10.9,5.9,3.2,2.0,44.1,14.9,-0.1,0.1,0.0,-0.026,-6.6,0.5,-6.0,-0.1,0.0
jarred vanderbilt,SF,20,DEN,9,41,7.2,0.714,0.0,0.0,8.2,13.6,10.9,6.6,3.6,2.3,50.0,14.8,-0.1,0.1,0.0,-0.042,-7.0,0.9,-6.1,0.0,0.0
jarred vanderbilt,PF,20,MIN,2,5,11.1,0.532,1.0,2.0,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.104,-2.8,-2.8,-5.6,0.0,0.0
fred vanvleet,PG,25,TOR,54,1928,16.3,0.553,0.484,0.256,1.0,9.9,5.6,27.7,2.5,0.9,12.3,21.7,2.8,3.1,5.8,0.145,1.2,1.4,2.7,2.3,6.0
gabe vincent,PG,23,MIA,9,83,1.2,0.297,0.73,0.0,0.0,6.5,3.4,10.1,2.9,0.0,2.6,20.2,-0.3,0.1,-0.2,-0.117,-8.5,-1.9,-10.4,-0.2,9.0
noah vonleh,C-PF,24,TOT,36,377,15.5,0.622,0.163,0.348,10.1,25.3,17.4,10.7,1.4,1.3,16.5,13.9,0.6,0.4,1.0,0.127,-1.2,0.3,-1.0,0.1,2.0
noah vonleh,C,24,MIN,29,347,15.3,0.605,0.163,0.326,10.0,25.9,17.6,10.8,1.5,1.4,16.2,13.9,0.5,0.4,0.9,0.124,-1.5,0.4,-1.0,0.1,2.0
noah vonleh,PF,24,DEN,7,30,17.6,0.838,0.167,0.667,11.2,18.6,14.9,9.5,0.0,0.0,20.5,14.1,0.1,0.0,0.1,0.166,1.3,-1.9,-0.6,0.0,2.0
nikola vučević,C,29,ORL,62,1998,21.9,0.549,0.28,0.162,7.3,29.7,18.1,19.5,1.3,2.1,7.4,25.8,3.5,2.9,6.4,0.153,3.7,0.5,4.2,3.1,0.0
dean wade,PF,23,CLE,12,71,13.9,0.744,0.308,0.077,4.6,25.3,14.9,4.0,1.4,4.8,18.2,9.9,0.1,0.1,0.2,0.105,-1.7,0.5,-1.2,0.0,2.0
moritz wagner,C,22,WAS,45,835,15.1,0.638,0.301,0.357,7.0,22.2,14.3,9.8,1.6,2.0,17.7,18.6,1.1,0.6,1.7,0.099,-2.0,-0.3,-2.3,-0.1,0.0
dion waiters,SG,28,TOT,10,207,11.5,0.521,0.475,0.172,1.1,11.5,6.4,14.4,0.9,2.7,13.1,25.2,-0.1,0.2,0.1,0.03,-0.7,-0.6,-1.2,0.0,3.0
dion waiters,SG,28,MIA,3,42,13.4,0.53,0.654,0.038,0.0,28.2,14.7,12.5,0.0,4.7,10.2,30.9,-0.1,0.1,0.0,-0.003,2.4,-0.5,1.8,0.0,3.0
dion waiters,SG,28,LAL,7,165,11.0,0.518,0.411,0.219,1.3,7.2,4.3,14.9,1.2,2.2,14.0,23.8,-0.1,0.2,0.1,0.038,-1.4,-0.6,-2.0,0.0,3.0
kemba walker,PG,29,BOS,56,1742,20.0,0.575,0.532,0.272,2.2,11.0,6.7,24.2,1.3,1.5,10.5,27.2,3.9,2.0,5.9,0.162,4.9,-0.3,4.6,2.9,6.0
lonnie walker,SG,21,SAS,61,988,10.5,0.507,0.283,0.171,2.5,12.7,7.6,9.6,1.5,1.2,10.3,18.7,-0.2,0.6,0.3,0.016,-2.5,-1.0,-3.5,-0.4,0.0
tyrone wallace,SG,25,ATL,14,160,3.9,0.389,0.341,0.386,2.0,13.0,7.4,10.9,2.0,0.5,16.3,16.0,-0.3,0.1,-0.2,-0.075,-7.7,-1.0,-8.7,-0.3,0.0
taurean prince,SF,25,BRK,64,1857,9.1,0.497,0.583,0.12,2.8,18.1,10.6,9.2,1.5,1.1,14.0,20.4,-1.7,2.3,0.6,0.014,-2.8,-0.1,-2.9,-0.4,1.0
derrick walton,PG,24,TOT,26,248,8.7,0.617,0.615,0.231,0.9,5.8,3.4,13.9,1.4,0.0,10.4,8.1,0.4,0.2,0.6,0.111,-2.2,1.3,-1.0,0.1,0.0
derrick walton,PG,24,LAC,23,222,8.4,0.626,0.583,0.25,1.0,5.9,3.5,12.6,0.9,0.0,9.1,8.3,0.4,0.2,0.5,0.112,-2.2,0.9,-1.3,0.0,0.0
derrick walton,PG,24,DET,3,26,11.3,0.5,1.0,0.0,0.0,4.4,2.2,24.8,5.7,0.0,25.0,6.7,0.0,0.0,0.1,0.105,-2.9,4.7,1.8,0.0,0.0
brad wanamaker,PG,30,BOS,71,1369,12.8,0.577,0.282,0.376,1.7,9.4,5.6,17.8,2.2,0.9,15.3,15.5,1.8,1.8,3.5,0.124,-1.9,1.3,-0.6,0.5,0.0
t.j. warren,SF,26,IND,67,2202,18.4,0.61,0.227,0.205,3.4,10.5,7.0,7.1,1.7,1.4,7.2,23.3,4.0,2.6,6.5,0.143,1.2,0.0,1.1,1.7,4.0
p.j. washington,PF,21,CHO,58,1759,12.4,0.547,0.39,0.231,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,0.5,1.5,2.0,0.054,-1.7,0.1,-1.6,0.2,2.0
yuta watanabe,SG,25,MEM,18,105,11.2,0.48,0.235,0.235,7.2,12.8,10.0,6.4,2.2,0.8,5.1,15.7,0.0,0.1,0.1,0.065,-2.6,0.9,-1.8,0.0,0.0
tremont waters,PG,22,BOS,11,119,4.3,0.381,0.49,0.163,0.0,10.7,5.4,18.3,4.1,1.6,22.2,24.2,-0.5,0.2,-0.3,-0.103,-8.5,1.0,-7.5,-0.2,1.0
paul watson,SF-SG,25,TOT,10,87,12.6,0.517,0.462,0.346,2.5,17.9,10.3,12.4,2.2,1.1,9.1,16.1,0.0,0.1,0.2,0.097,-1.2,0.9,-0.4,0.0,0.0
paul watson,SG,25,ATL,2,17,-7.1,0.0,0.429,0.0,0.0,12.8,6.3,21.1,2.7,0.0,0.0,17.1,-0.1,0.0,-0.1,-0.32,-12.3,-1.5,-13.9,-0.1,0.0
paul watson,SF,25,TOR,8,70,17.3,0.675,0.474,0.474,3.1,19.2,11.3,10.3,2.0,1.4,11.6,15.9,0.2,0.1,0.3,0.198,1.4,1.4,2.9,0.1,0.0
quinndary weatherspoon,SG,23,SAS,11,78,3.2,0.336,0.294,0.118,1.4,8.3,4.8,17.5,1.8,1.1,21.9,12.7,-0.2,0.0,-0.1,-0.071,-6.4,-1.0,-7.4,-0.1,0.0
russell westbrook,PG,31,HOU,57,2049,21.0,0.536,0.166,0.297,5.1,18.1,11.5,35.6,2.1,0.8,15.0,34.4,1.7,2.5,4.2,0.098,1.6,-0.1,1.5,1.8,8.0
coby white,SG,19,CHI,65,1674,11.9,0.506,0.475,0.163,1.8,14.0,7.6,16.5,1.4,0.3,11.4,24.4,-0.5,1.4,0.9,0.026,-1.2,-1.6,-2.8,-0.4,0.0
derrick white,SG,25,SAS,68,1677,16.4,0.593,0.391,0.382,2.3,12.1,7.2,20.0,1.3,3.1,12.1,18.9,3.1,1.1,4.2,0.119,1.2,0.1,1.3,1.4,0.0
hassan whiteside,C,30,POR,67,2008,25.0,0.644,0.01,0.34,13.6,33.3,23.6,5.9,0.6,8.4,12.9,19.6,5.6,3.0,8.5,0.204,2.5,0.7,3.2,2.6,3.0
andrew wiggins,SF-SG,24,TOT,54,1858,16.4,0.536,0.342,0.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,0.8,1.1,1.9,0.05,1.1,-1.4,-0.3,0.8,1.0
andrew wiggins,SF,24,MIN,42,1455,16.1,0.535,0.348,0.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,0.6,0.8,1.4,0.046,1.1,-1.5,-0.4,0.6,1.0
andrew wiggins,SG,24,GSW,12,403,17.5,0.542,0.314,0.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,0.2,0.3,0.5,0.064,0.9,-1.1,-0.2,0.2,1.0
grant williams,PF,21,BOS,69,1043,7.9,0.505,0.455,0.256,6.1,12.1,9.1,8.5,1.4,3.2,17.6,11.6,0.1,1.4,1.6,0.071,-4.1,1.4,-2.7,-0.2,0.0
johnathan williams,C,24,WAS,15,180,14.0,0.566,0.059,0.382,14.0,25.3,19.4,5.9,0.3,3.9,11.2,10.3,0.3,0.1,0.4,0.109,-0.8,-1.4,-2.2,0.0,0.0
kenrich williams,PF,25,NOP,39,832,7.5,0.429,0.66,0.177,6.5,17.3,11.9,8.4,1.5,2.1,12.2,8.9,0.1,0.8,0.9,0.05,-3.4,0.9,-2.4,-0.1,2.0
lou williams,SG,33,LAC,65,1864,17.3,0.546,0.337,0.362,1.8,9.2,5.6,30.1,1.1,0.6,14.4,28.4,2.3,1.8,4.1,0.105,2.2,-1.4,0.8,1.3,2.0
marvin williams,PF,33,TOT,58,1129,11.2,0.587,0.584,0.213,2.8,14.3,8.5,7.6,1.6,2.4,10.2,12.5,1.1,1.3,2.4,0.102,-1.6,1.0,-0.6,0.4,2.0
marvin williams,PF,33,CHO,41,808,11.8,0.593,0.557,0.238,2.0,13.2,7.4,7.8,1.6,2.5,9.7,14.0,0.8,0.6,1.5,0.087,-1.6,0.4,-1.3,0.1,2.0
marvin williams,PF,33,MIL,17,321,9.8,0.566,0.684,0.123,4.9,17.1,11.4,7.2,1.4,2.2,11.8,8.7,0.3,0.6,0.9,0.139,-1.6,2.5,0.9,0.2,2.0
robert williams,C,22,BOS,29,388,23.1,0.728,0.0,0.386,11.2,24.0,17.7,10.1,2.7,8.4,16.9,13.6,1.1,1.0,2.0,0.253,0.8,4.3,5.1,0.7,0.0
nigel williams-goss,PG,25,UTA,10,50,8.1,0.415,0.438,0.125,4.6,8.5,6.6,16.4,2.9,1.7,15.1,17.4,-0.1,0.1,0.0,0.017,-5.2,1.3,-3.9,0.0,6.0
zion williamson,PF,19,NOP,24,668,24.1,0.616,0.039,0.494,10.1,13.7,11.9,13.3,1.1,1.1,11.9,30.5,1.5,0.4,2.0,0.141,3.5,-1.4,2.1,0.7,3.0
d.j. wilson,PF,23,MIL,37,363,8.2,0.475,0.553,0.136,3.5,20.5,12.5,9.1,0.4,1.2,12.0,18.1,-0.3,0.6,0.3,0.046,-4.1,0.1,-4.0,-0.2,2.0
justise winslow,SF,23,MIA,11,352,8.5,0.44,0.209,0.209,5.3,17.5,11.6,18.7,1.0,1.4,14.6,20.6,-0.4,0.4,0.0,-0.004,-3.5,0.0,-3.5,-0.1,2.0
christian wood,PF,24,DET,62,1325,23.2,0.659,0.276,0.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,3.6,1.5,5.1,0.183,3.5,-0.3,3.1,1.7,1.0
delon wright,SG,27,DAL,73,1570,15.4,0.554,0.309,0.243,4.7,13.8,9.4,21.0,2.6,1.2,13.8,14.4,2.6,1.8,4.4,0.134,0.0,1.8,1.9,1.5,0.0
justin wright-foreman,PG,22,UTA,4,45,8.8,0.437,0.5,0.2,0.0,11.8,6.1,23.0,2.2,0.0,12.1,24.1,-0.1,0.1,0.0,-0.008,-7.0,-2.0,-9.0,-0.1,0.0
thaddeus young,PF,31,CHI,64,1591,13.3,0.521,0.369,0.12,6.2,16.1,10.9,11.3,2.8,1.4,13.9,19.7,-0.2,2.1,1.9,0.058,-1.4,0.2,-1.2,0.3,0.0
trae young,PG,21,ATL,60,2120,23.9,0.595,0.455,0.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,5.3,0.6,5.9,0.133,6.2,-2.3,3.9,3.1,4.0
cody zeller,C,27,CHO,58,1341,18.8,0.576,0.157,0.374,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,2.3,1.3,3.6,0.129,0.2,-0.8,-0.6,0.5,0.0
tyler zeller,C,30,SAS,2,4,22.4,0.25,0.0,0.0,80.9,26.9,53.9,0.0,0.0,0.0,0.0,43.2,0.0,0.0,0.0,-0.075,-0.3,-22.1,-22.4,0.0,1.0
ante žižić,C,23,CLE,22,221,16.4,0.597,0.0,0.264,9.0,24.4,16.6,4.2,1.5,1.9,11.1,17.5,0.3,0.2,0.5,0.106,-1.7,-1.5,-3.2,-0.1,0.0
ivica zubac,C,22,LAC,72,1326,21.7,0.651,0.005,0.431,15.9,26.4,21.3,9.1,0.6,4.4,11.8,16.4,4.4,2.3,6.6,0.241,1.9,0.8,2.8,1.6,0.0
